views,likes,comments,shares,bookmarks,watchedFullVideo,newFollowers,length,category,subject,hasCover,hasDescription,reply
12700,1052,46,100,228,10.35,NA,55.8,info,data analytics,1,1,1
1623,211,21,1,6,50.96,5,15.18,opinion,software,0,0,0
3264,112,0,0,33,41.69,4,6,info,software,0,0,0
4013,99,6,0,2,61.26,3,5.25,humor,software,0,0,0
1339,44,1,0,2,45.27,2,6.27,humor,career,0,1,0
3797,63,4,1,7,52.49,2,5.5,humor,software,0,0,0
4560,156,4,0,2,58.53,2,5.55,humor,software,0,0,0
290,10,3,0,1,14,1,12.5,humor,software,0,1,1
1355,82,2,1,2,56.33,1,6.36,humor,cyber security,0,0,0
294,11,4,0,3,8.9,1,17,info,software,1,0,0
269,16,2,0,1,22.91,1,7.8,info,software,0,0,0
765,17,0,0,2,29.69,1,7,info,cyber security,1,0,0
1934,48,1,0,1,39.46,1,6.04,humor,software,0,0,0
298,7,0,0,0,3.49,1,15,info,software,0,0,0
272,22,3,0,0,18,1,15,humor,cyber security,0,0,0
4032,148,0,0,2,64.1,1,5.71,humor,software,0,1,0
236,6,4,0,0,3.5,0,57.91,info,software,0,1,1
2220,243,8,10,32,19.33,0,57.63,info,software,1,1,0
265,27,3,0,0,0,0,0,info,software,1,1,0
3444,143,8,14,19,16.82,0,55.61,info,devops,1,1,0
1816,114,4,12,31,3.87,0,57.07,info,devops,1,1,0
546,26,6,2,1,5.2,0,55.45,info,data analytics,1,1,1
5064,309,5,25,89,9.3,1,56.63,info,data analytics,1,1,1
500,43,2,1,4,12.89,1,56.17,info,data analytics,1,1,1
486,22,0,2,2,5.41,1,58,tutorial,data analytics,1,1,1
360,28,2,0,0,5.5,1,53,info,data analytics,1,1,1
290,25,3,0,1,0,1,53,info,data analytics,1,1,1
186,7,4,0,0,0,1,53,opinion,data analytics,1,1,1
237,18,4,0,0,0,1,42.81,info,career,0,1,1
235,16,1,0,1,3.6,1,52.03,info,career,0,1,1
